,sales,device,QTR_IDX_SALES,QTR_IDX_PREV,replyCount_sum,retweetCount_sum,likeCount_sum,quoteCount_sum,replyCount_mean,retweetCount_mean,likeCount_mean,quoteCount_mean
0,35.06,iphone,2012_2,2012_1,376,116,12,0,0.5222222222222223,0.16111111111111112,0.016666666666666666,0.0
1,26.03,iphone,2012_3,2012_2,240,77,29,0,0.3333333333333333,0.10694444444444444,0.04027777777777778,0.0
2,26.91,iphone,2012_4,2012_3,263,154,137,0,0.3460526315789474,0.2026315789473684,0.18026315789473685,0.0
3,47.79,iphone,2013_1,2012_4,266,131,116,0,0.36944444444444446,0.18194444444444444,0.16111111111111112,0.0
4,37.43,iphone,2013_2,2013_1,218,132,137,0,0.30277777777777776,0.18333333333333332,0.19027777777777777,0.0
5,31.24,iphone,2013_3,2013_2,221,128,246,0,0.30694444444444446,0.17777777777777778,0.3416666666666667,0.0
6,33.8,iphone,2013_4,2013_3,211,138,206,0,0.2776315789473684,0.18157894736842106,0.2710526315789474,0.0
7,51.03,iphone,2014_1,2013_4,181,136,254,0,0.2513888888888889,0.18888888888888888,0.3527777777777778,0.0
8,43.72,iphone,2014_2,2014_1,219,189,322,0,0.30416666666666664,0.2625,0.44722222222222224,0.0
9,35.2,iphone,2014_3,2014_2,229,252,405,0,0.31805555555555554,0.35,0.5625,0.0
10,39.27,iphone,2014_4,2014_3,204,259,363,0,0.26842105263157895,0.34078947368421053,0.4776315789473684,0.0
11,74.47,iphone,2015_1,2014_4,228,137,581,0,0.31666666666666665,0.19027777777777777,0.8069444444444445,0.0
12,61.17,iphone,2015_2,2015_1,234,140,479,0,0.325,0.19444444444444445,0.6652777777777777,0.0
13,47.53,iphone,2015_3,2015_2,224,151,481,0,0.3111111111111111,0.20972222222222223,0.6680555555555555,0.0
14,48.05,iphone,2015_4,2015_3,193,127,384,0,0.25394736842105264,0.16710526315789473,0.5052631578947369,0.0
15,74.78,iphone,2016_1,2015_4,214,170,656,0,0.2972222222222222,0.2361111111111111,0.9111111111111111,0.0
16,51.19,iphone,2016_2,2016_1,380,505,1382,8,0.5277777777777778,0.7013888888888888,1.9194444444444445,0.011111111111111112
17,40.4,iphone,2016_3,2016_2,236,209,703,56,0.3277777777777778,0.2902777777777778,0.9763888888888889,0.07777777777777778
18,45.51,iphone,2016_4,2016_3,593,858,3351,55,0.7802631578947369,1.1289473684210527,4.40921052631579,0.07236842105263158
19,78.29,iphone,2017_1,2016_4,304,136,872,44,0.4222222222222222,0.18888888888888888,1.211111111111111,0.06111111111111111
20,50.76,iphone,2017_2,2017_1,234,131,1413,40,0.325,0.18194444444444444,1.9625,0.05555555555555555
21,41.03,iphone,2017_3,2017_2,252,139,942,39,0.35,0.19305555555555556,1.3083333333333333,0.05416666666666667
22,46.68,iphone,2017_4,2017_3,241,136,751,45,0.3171052631578947,0.17894736842105263,0.9881578947368421,0.05921052631578947
23,77.32,iphone,2018_1,2017_4,371,221,2138,33,0.5152777777777777,0.30694444444444446,2.9694444444444446,0.04583333333333333
24,52.22,iphone,2018_2,2018_1,461,388,6410,59,0.6402777777777777,0.5388888888888889,8.902777777777779,0.08194444444444444
25,41.3,iphone,2018_3,2018_2,341,186,2264,79,0.4736111111111111,0.25833333333333336,3.1444444444444444,0.10972222222222222
26,46.89,iphone,2018_4,2018_3,435,192,3232,45,0.5723684210526315,0.25263157894736843,4.252631578947368,0.05921052631578947
27,11.8,ipad,2012_2,2012_1,406,41,60,0,0.5638888888888889,0.05694444444444444,0.08333333333333333,0.0
28,17.04,ipad,2012_3,2012_2,227,43,30,0,0.31527777777777777,0.059722222222222225,0.041666666666666664,0.0
29,14.04,ipad,2012_4,2012_3,266,103,48,0,0.35,0.1355263157894737,0.06315789473684211,0.0
30,22.86,ipad,2013_1,2012_4,190,97,61,0,0.2638888888888889,0.13472222222222222,0.08472222222222223,0.0
31,19.48,ipad,2013_2,2013_1,211,186,199,0,0.29305555555555557,0.25833333333333336,0.2763888888888889,0.0
32,14.62,ipad,2013_3,2013_2,192,64,107,0,0.26666666666666666,0.08888888888888889,0.1486111111111111,0.0
33,14.08,ipad,2013_4,2013_3,217,74,233,0,0.2855263157894737,0.09736842105263158,0.30657894736842106,0.0
34,26.04,ipad,2014_1,2013_4,215,265,289,0,0.2986111111111111,0.3680555555555556,0.4013888888888889,0.0
35,16.35,ipad,2014_2,2014_1,187,75,220,0,0.25972222222222224,0.10416666666666667,0.3055555555555556,0.0
36,13.28,ipad,2014_3,2014_2,169,408,308,0,0.23472222222222222,0.5666666666666667,0.42777777777777776,0.0
37,12.32,ipad,2014_4,2014_3,150,468,308,1,0.19736842105263158,0.6157894736842106,0.4052631578947368,0.0013157894736842105
38,21.42,ipad,2015_1,2014_4,179,372,396,0,0.24861111111111112,0.5166666666666667,0.55,0.0
39,12.62,ipad,2015_2,2015_1,230,192,399,1,0.3194444444444444,0.26666666666666666,0.5541666666666667,0.001388888888888889
40,10.93,ipad,2015_3,2015_2,231,99,494,0,0.32083333333333336,0.1375,0.6861111111111111,0.0
41,9.88,ipad,2015_4,2015_3,243,171,826,0,0.31973684210526315,0.225,1.0868421052631578,0.0
42,16.12,ipad,2016_1,2015_4,227,50,349,0,0.31527777777777777,0.06944444444444445,0.4847222222222222,0.0
43,10.25,ipad,2016_2,2016_1,240,74,540,0,0.3333333333333333,0.10277777777777777,0.75,0.0
44,9.95,ipad,2016_3,2016_2,232,59,649,3,0.32222222222222224,0.08194444444444444,0.9013888888888889,0.004166666666666667
45,9.27,ipad,2016_4,2016_3,261,65,591,10,0.34342105263157896,0.08552631578947369,0.7776315789473685,0.013157894736842105
46,13.08,ipad,2017_1,2016_4,251,111,949,31,0.3486111111111111,0.15416666666666667,1.3180555555555555,0.043055555555555555
47,8.92,ipad,2017_2,2017_1,266,104,618,30,0.36944444444444446,0.14444444444444443,0.8583333333333333,0.041666666666666664
48,11.42,ipad,2017_3,2017_2,251,99,667,35,0.3486111111111111,0.1375,0.9263888888888889,0.04861111111111111
49,10.33,ipad,2017_4,2017_3,326,154,2410,17,0.42894736842105263,0.2026315789473684,3.1710526315789473,0.02236842105263158
50,13.17,ipad,2018_1,2017_4,312,76,1319,11,0.43333333333333335,0.10555555555555556,1.8319444444444444,0.015277777777777777
51,9.11,ipad,2018_2,2018_1,400,35,774,16,0.5555555555555556,0.04861111111111111,1.075,0.022222222222222223
52,11.55,ipad,2018_3,2018_2,390,348,2066,29,0.5416666666666666,0.48333333333333334,2.8694444444444445,0.04027777777777778
53,9.67,ipad,2018_4,2018_3,428,454,4998,27,0.5631578947368421,0.5973684210526315,6.576315789473684,0.035526315789473684
54,4.02,mac,2012_2,2012_1,330,33,8,0,0.4583333333333333,0.04583333333333333,0.011111111111111112,0.0
55,4.02,mac,2012_3,2012_2,262,50,41,0,0.3638888888888889,0.06944444444444445,0.05694444444444444,0.0
56,4.92,mac,2012_4,2012_3,349,32,53,0,0.45921052631578946,0.042105263157894736,0.06973684210526315,0.0
57,4.06,mac,2013_1,2012_4,292,83,62,0,0.40555555555555556,0.11527777777777778,0.08611111111111111,0.0
58,3.95,mac,2013_2,2013_1,262,81,96,0,0.3638888888888889,0.1125,0.13333333333333333,0.0
59,3.75,mac,2013_3,2013_2,223,62,153,0,0.30972222222222223,0.08611111111111111,0.2125,0.0
60,4.57,mac,2013_4,2013_3,250,59,184,0,0.32894736842105265,0.07763157894736843,0.24210526315789474,0.0
61,4.84,mac,2014_1,2013_4,231,65,212,0,0.32083333333333336,0.09027777777777778,0.29444444444444445,0.0
62,4.14,mac,2014_2,2014_1,238,56,229,0,0.33055555555555555,0.07777777777777778,0.31805555555555554,0.0
63,4.41,mac,2014_3,2014_2,228,67,398,0,0.31666666666666665,0.09305555555555556,0.5527777777777778,0.0
64,5.52,mac,2014_4,2014_3,238,52,358,0,0.3131578947368421,0.06842105263157895,0.4710526315789474,0.0
65,5.52,mac,2015_1,2014_4,211,46,313,0,0.29305555555555557,0.06388888888888888,0.43472222222222223,0.0
66,4.56,mac,2015_2,2015_1,286,239,687,0,0.3972222222222222,0.33194444444444443,0.9541666666666667,0.0
67,4.8,mac,2015_3,2015_2,234,182,674,0,0.325,0.25277777777777777,0.9361111111111111,0.0
68,5.71,mac,2015_4,2015_3,269,89,753,0,0.3539473684210526,0.11710526315789474,0.9907894736842106,0.0
69,5.31,mac,2016_1,2015_4,286,65,504,1,0.3972222222222222,0.09027777777777778,0.7,0.001388888888888889
70,4.03,mac,2016_2,2016_1,264,74,498,0,0.36666666666666664,0.10277777777777777,0.6916666666666667,0.0
71,4.25,mac,2016_3,2016_2,300,82,715,4,0.4166666666666667,0.11388888888888889,0.9930555555555556,0.005555555555555556
72,4.89,mac,2016_4,2016_3,258,132,1247,39,0.3394736842105263,0.1736842105263158,1.6407894736842106,0.05131578947368421
73,5.37,mac,2017_1,2016_4,302,67,798,24,0.41944444444444445,0.09305555555555556,1.1083333333333334,0.03333333333333333
74,4.2,mac,2017_2,2017_1,303,130,1384,29,0.42083333333333334,0.18055555555555555,1.9222222222222223,0.04027777777777778
75,4.29,mac,2017_3,2017_2,317,241,2698,53,0.44027777777777777,0.3347222222222222,3.7472222222222222,0.07361111111111111
76,5.39,mac,2017_4,2017_3,371,73,1069,25,0.4881578947368421,0.09605263157894736,1.4065789473684212,0.03289473684210526
77,5.11,mac,2018_1,2017_4,420,98,1420,40,0.5833333333333334,0.1361111111111111,1.9722222222222223,0.05555555555555555
78,4.08,mac,2018_2,2018_1,443,73,1065,31,0.6152777777777778,0.10138888888888889,1.4791666666666667,0.043055555555555555
79,3.72,mac,2018_3,2018_2,399,116,1210,35,0.5541666666666667,0.16111111111111112,1.6805555555555556,0.04861111111111111
80,5.3,mac,2018_4,2018_3,1200,274,5655,74,1.5789473684210527,0.3605263157894737,7.440789473684211,0.09736842105263158
